text,label
"Sector 12 park dustbin overflowing, not cleared in 5 days",real
"Sector 7 market garbage not collected, vendor complaints",real
"Student hostel area overflowing bins, disease risk rising",real
"Mall area garbage not cleared on Sundays, stench complaint",real
Community park used as garbage dump at night by nearby shops,real
"DLF area garbage timing issue, bins full before truck comes",real
"Old Delhi wholesale market area garbage crisis, rodent sighting",real
Temple area garbage accumulation on festival days,real
"Broken streetlight outside Central Market gate 3, existing since 2 weeks",real
"Village road unlit at night, incidents increasing",real
Five streetlights out on Nelson Mandela Road stretch,real
"Market area dark after sunset, safety concern for women",real
"Solar light near park with dead battery, no maintenance",real
Heavy traffic congestion on a major road with multiple lanes blocked by vehicles.,real
The storm drain is clogged with debris and appears to be overflowing.,real
A broken wooden fence suggests possible municipal neglect or lack of maintenance.,real
Street light flickering near metro pillar 405,real
"Abandoned burnt-out car with graffiti on it, scattered trash on the road.",real
short circuit in area,real
"Large pothole on Sector 7 main road, multiple bike accidents reported",real
"Underpass lights out for 2 months, accident reported",real
Overflowing garbage bin near metro station entrance,real
Broken streetlight outside Central Market gate 3,real
"Entire Phase 3 road unlit, women attacked last week",real
Major water pipe burst flooding the sector road,real
"Frequent power outages, transformer humming loudly",real
"Sewage overflow on residential lane, foul smell",real
"Coaching area unsafe at night, 4 lights non-functional",real
Traffic signal malfunctioning at Lal Quila intersection,real
Fallen tree blocking lane after recent storm,real
Qutub area approach road dark at night,real
Litter accumulation around inner circle benches,real
Multiple potholes near community center,real
"Parks Magistrate lane poorly lit, jogger safety concern",real
Loud construction at night past 11 PM,real
No water supply in C Block for 3 days,real
Five streetlights out on Nelson Mandela Road,real
Garden approach road pitch dark after 9pm,real
Small potholes near M-Block market,real
Garbage dumping spot growing near heritage area,real
Dargah approach lane completely unlit,real
Drain blocked behind Saket District Court,real
Streetlight flickering near metro pillar 405,real
"Bus stand area dark, antisocial elements gathering",real
Tree branch hanging dangerously over road,real
Water seepage from main road tap,real
"Metro feeder road dark, two snatching incidents this week",real
"Deep pothole on E Block road, dangerous for cars",real
"Traffic signal timer too short, jams during peak hours",real
Garbage truck not coming for over a week,real
Traffic signal malfunctioning at Lal Quila intersection since Monday,real
Exposed wires hanging at chest height near market,real
Slow water pressure in DDA flats,real
"Signal timer too short on Ring Road junction, 2km jams nightly",real
Potholes near IT park entrance,real
"Trees need pruning, branches touching power lines",real
Illegal parking on inner circle blocking emergency vehicle lane,real
"Open manhole on busy road, no warning signs",real
Construction debris dumped on roadside,real
"Market area dark after sunset, safety concern",real
Sector 9 market encroachment reducing road to single lane,real
Generator running 24/7 near residential building,real
Brown water from taps in C block,real
Village road completely blocked by pub-goers parking,real
Daily 4-hour power cuts disrupting work,real
"Sector 3 school zone no speed breakers, children at risk",real
"Bus terminal overflowing, blocking main GT Karnal Road",real
Industrial area truck movement blocking residential access,real
Vikas Marg encroachment by vegetable market every morning,real
"Signal at B1-B2 junction broken for 4 days, accidents",real
Sabzi Mandi market vehicles blocking entire stretch 7-11am,real
"Speed breaker removed during road work, not replaced",real
Sector 4 crossroads no traffic police during peak hour,real
"Sewage overflow near NSP housing complex, foul smell unbearable",real
"Open manhole on busy road near bus stand, no warning signs",real
"Drain blocked behind District Court, flooding during rain",real
Sewage seeping from Mehrauli drain into residential lanes,real
Industrial effluent mixing with residential sewage drain,real
"Main sewer collapsed under road near market, 50m exposure",real
Drainage blocked in Sector 11 colony after heavy rain,real
Sewage overflow entering ground floor homes in B Block,real
"Old sewer collapsed near Kinari Bazaar, health emergency",real
"Drain cover broken near school, open sewage gap",real
"Drainage not cleaned for months, mosquito breeding",real
DLF Promenade back drain overflowing after last night rain,real
"Colony drain blocked by tree roots, backing up in basement",real
"Sewage mixing with drinking water supply, urgent fix needed",real
"Frequent power outages in SDA, transformer humming loudly",real
Exposed live wires at chest height near market entrance,real
Daily 4-hour power cuts disrupting work-from-home,real
"Generator running 24/7 near residential building, noise + fumes",real
"Electricity bill tripled, meter not checked in 6 months",real
"Transformer tripped, Sector 6 without power 20+ hours",real
"Power fluctuation damaging electronics, 3 inverters blown",real
New connection pending 4 months despite payment,real
"Live wire hanging from pole after storm, sparking on tree",real
Market area power cuts exactly 6-10pm daily for 2 weeks,real
"Electric meter reading appears incorrect, abnormal bill",real
Substation issue causing repeated outages in south block,real
"Open electrical box near school gate, children at risk",real
"Cable fault since Tuesday, no restoration schedule given",real
Loud construction at night past 11 PM violating noise norms,real
Banquet hall DJ past midnight every weekend,real
"Generator noise from 3 hotels all night, residents sleepless",real
Loudspeaker from shop from 6am to 10pm daily,real
"Bar music till 3am in village, police complaint filed",real
"Road drilling at midnight for metro work, unbearable",real
Transformer humming very loud since new installation,real
Construction blasting noise near hospital zone,real
Market loudspeaker announcements disrupting nearby school,real
Mall loading dock night deliveries waking residents,real
Fallen tree blocking lane near Phase 1 metro after storm,real
Tree branch hanging dangerously over road near Club Road,real
"Trees need pruning, branches touching 11kV power lines",real
"Large dead tree leaning over residential building, urgent",real
"Tree roots breaking footpath, tripping hazard near market",real
Diseased tree spreading to others in Coronation Park,real
"Tree planted too close to compound wall, cracking it",real
Old peepal tree leaning at 45 degrees after rain,real
Tree roots blocking storm drain causing regular flooding,real
M-Block green belt trees need seasonal trimming,real
"Stray dog pack near Rajiv Chowk metro exit, biting incidents",real
"Broken playground equipment in Select City park, sharp edges",real
"Open manhole on Sector 3 road, no cover, no barrier at night",real
Footpath in village completely encroached by shops,real
"Stray cattle on Sector 2 road, traffic hazard at night",real
Illegal encroachment on public park behind metro,real
Abandoned vehicles in Sector 7 reducing road to one lane,real
"Public toilet non-functional for 2 months, open defecation",real
Community water cooler installed but never connected,real
Illegal construction blocking emergency access to society,real
Waterlogging on main road after blocked storm drain,real
"Open transformer pit near tourist area, safety emergency",real
Parking lot encroachment on public park land,real
Hospital gate always blocked by commercial vehicles,real
"ISBT approach road encroached by hawkers, 2 lanes blocked",real
"Free pizza for life, click here to claim",spam
"UFO spotted on main st, come see",spam
Buy now and get 100% off,spam
abcdefghijklmnopqrstuvwxyz,spam
The answer is 42,spam
"Make $$$$ fast, easy, and safe",spam
Your cat is plotting against you,spam
"The world is ending, stock up on canned goods",spam
Dr. Smith wants to be your friend,spam
Limited time offer: buy one get one free on all socks,spam
The matrix has been hacked,spam
URGENT: respond to this text to unlock your account,spam
There is a giant squirrel on the loose,spam
The best pizza in town is now delivering,spam
Come and join the resistance,spam
"You have won the lottery, claim now",spam
Giraffes are taking over the city,spam
The cake is a lie,spam
Report to the authorities to claim your prize,spam
"Free trial for all services, no credit card required",spam
Outer space monkeys are invading,spam
What is the meaning of life?,spam
The secret to eternal youth revealed,spam
"The zombies are coming, don't forget to stock up on brains",spam
Are you people even listening? Our roads are crumbling and nothing's being done!,abuse
"Fix our potholes already, it's like you don't care about citizens!",abuse
Your incompetence is staggering. When will you upgrade our public transit?,abuse
Can't you see our bridges are collapsing? Get to work!,abuse
Every day I waste in traffic because of your inefficiency is a day I'll never get back.,abuse
How much longer until our water pipes are fixed? It's a health hazard!,abuse
Why does it take years to plan and execute simple infrastructure projects?,abuse
Your excuses are wearing thin. Fix our infrastructure now!,abuse
"When I vote, I expect results. Not more broken promises about road repairs.",abuse
"You're supposed to serve the public, not your own interests. Get our infrastructure sorted!",abuse
The state of our roads is a disaster. When will you act?,abuse
It's laughable how you expect us to trust you with our taxes when you can't even maintain our roads.,abuse
How can you sleep at night knowing our communities are suffering because of neglected infrastructure?,abuse
Your inaction on infrastructure is a betrayal of public trust.,abuse
"We're not asking for much, just safe and reliable roads and public services.",abuse
The lack of investment in infrastructure is a clear sign of your administration's incompetence.,abuse
Get off your backsides and fix our infrastructure! It's not that hard.,abuse
Do you have any idea how much business you're losing because of our crumbling infrastructure?,abuse
"Infrastructure isn't a partisan issue, it's a human issue. Get it together!",abuse
Your legacy will be one of neglect if you don't prioritize infrastructure now.,abuse
The people are fed up with empty promises. Deliver on infrastructure.,abuse
Every project delayed is a project denied. Stop denying us our rights to good infrastructure.,abuse
abcdefg,test
test@test.com,test
123 main st,test
anytown,test
password123,test
qwerty,test
08/20/1990,test
12/31/2022,test
9876543210,test
123-456-7890,test
111.11,test
222.22,test
333.33,test
yyyy-mm-dd,test
1980-01-01,test
wqdfwqgweg,test
Tere jaise,abuse
Tere baap ki,abuse
nhi road theek hai,real
Tumhare jaise,abuse
subscribe to my channel,spam
mera number hai 999999999,spam
mera laptop kho gaya hai,spam
asdfghjkl poiuytrewq,spam
999999999999999,spam
whatsapp forward hai ye,spam
plz road saf kr do,real
Karol Bagh me road pe potholes hain,real
Tum log,abuse
Gaand mein dard ho raha hai kya,abuse
Tere baare mein,abuse
Janakpuri me traffic signal band hai,real
park ki safai kr do,real
Chal jaa beta,abuse
Sector 7 me water supply nhi aa raha,real
modiji please help me,spam
Rohini me gutter overflow ho rha hai,real
Mayur Vihar me road construction debris padha hai,real
Sector 12 me footpath tuta hua hai,real
Kutte ke aage mat,abuse
https://bit.ly/3zMzEB,spam
street light jalao,real
Saket me park me dirty water hai,real
Kya tum,abuse
mera gaon me fire hoga,spam
mera gaon me aisa koi samasya nahi hai,spam
Kya tumhare dimag mein kuch hai,abuse
Tere kaam kaafi nahi hai,abuse
mera bhed kaha gaya?,spam
Dwarka me market me paani ki leakage hai,real
yha safai krwa do,real
Pitampura me gali me gutter overflow ho rha,real
bhai log please subscribe krlo,spam
Chal beta,abuse
Tum logon ki maa behan,abuse
Sector 14 me street dogs bahut hain,real
Masturbate karne wale,abuse
Karol Bagh me jaldiii sewerage thik kr do,real
Saket me footpath pe damage hai,real
Pagal insaan,abuse
mera mobile charge nahi ho raha,spam
mera koi samasya nahi hai,spam
mera paani puri tarah se nikal raha hai,spam
chutiya banane wali road,spam
Tere maa ki,abuse
Tere jaise kaafi,abuse
Dwarka me metro ke paas bahut gandagi hai,real
meri gali me dragon ne pothole kiya,spam
zombie ne manhole cover toda,spam
bhot bada pothole hai,real
mera account hack ho gaya hai,spam
Lajpat Nagar me sewage problem hai,real
Tere jaise ko,abuse
Gaand mein,abuse
Sector 12 me open manholes hain,real
Kya tum log,abuse
mera computer virus se bhar gaya hai,spam
mera gaon bacha lein,spam
Tere jaise tarah,abuse
mera chhota problem hai,spam
meri gali me sabziyan ug rahi hain,spam
mera bike kho gaya hai police help,spam
mera laptop screen toot gaya hai,spam
Lajpat Nagar me kachra koi utha hi nhi raha,real
Rohini sector 10 me road puri tuti hui h,real
Gaali dene wale,abuse
Chutiya,abuse
Sector 7 me safai krwa do pls,real
mera paani leak ho raha hai ghar me,spam
Sector 7 me road cave-in ho gaya hai,real
Dwarka me colony me pani ki problem hai,real
mera naam hai modi ji complaint,spam
alien spaceship se paani leak ho rha h,spam
free fire recharge karne ke liye click karein,spam
ufo landing se road damage ho gyi dwarka me,spam
Patli gali,abuse
Tere jaise log,abuse
Sector 12 me gutter bahut bhar gaya hai,real
mera koi complaint nahi hai thoda,spam
Saket me road me potholes hain pls kr do,real
Lajpat Nagar me bhot moskitoes hain yahan,real
Janakpuri me market ke paas nala bahut ganda,real
Sector 14 me road dirty hai,real
Mayur Vihar me park me chitrak baag hai,real
mera paani bottle me hai,spam
Mayur Vihar me park bahut ganda hua hai,real
Pitampura me safai nahi hoti hai,real
Uttam Nagar me illegal dumping ho rahi hai,real
Tumhare log,abuse
Teri maa ki chut,abuse
Karol Bagh me 2 din se pani leak ho rha h,real
mera sabse bada problem hai,spam
mera dost ka phone aaya hai,spam
buy bitcoin now or never,spam
zombie apocalypse alert delhi,spam
Harami,abuse
mera hath mein dard hai,spam
Janakpuri me kachra ke containers nhi aate,real
mera hath toot gaya hai,spam
pakistan se aaya hai ye problem,spam
Uttam Nagar me street light 4 din se band h,real
Dwarka me metro station ke paas kachra,real
road ki halat theek nhi hai,real
Tere baap,abuse
kachre ka solution chahiye,real
Tere maa,abuse
Sector 14 me bijli ki light jaldi kar do,real
Tumhara gyaan,abuse
Pitampura me school ke saamne traffic signal kharab,real
Pahad ke niche,abuse
Rohini me bhot bahut gandagi hai yha,real
Tumhara dimaag kharab hai,abuse
mera gaon me bhoot aaya hai,spam
Rohini me mandir ke paas road dirty hai,real
Tumhare jaise logon ko maarna chahiye,abuse
Chutiya pagal ho,abuse
Uttam Nagar me damaged divider fix kr do,real
Tumhari maa,abuse
gali me paani bhara hai,real
mera desh bacha lein,spam
and mand ka tola,abuse
