text,label
"Bus terminal overflowing, blocking main GT Karnal Road",real
Industrial area truck movement blocking residential access,real
Vikas Marg encroachment by vegetable market every morning,real
"Signal at B1-B2 junction broken for 4 days, accidents",real
Sabzi Mandi market vehicles blocking entire stretch 7-11am,real
"Speed breaker removed during road work, not replaced",real
Sector 4 crossroads no traffic police during peak hour,real
"Sewage overflow near NSP housing complex, foul smell unbearable",real
"Open manhole on busy road near bus stand, no warning signs",real
"Drain blocked behind District Court, flooding during rain",real
Sewage seeping from Mehrauli drain into residential lanes,real
Industrial effluent mixing with residential sewage drain,real
"Main sewer collapsed under road near market, 50m exposure",real
Drainage blocked in Sector 11 colony after heavy rain,real
Sewage overflow entering ground floor homes in B Block,real
"Old sewer collapsed near Kinari Bazaar, health emergency",real
"Drain cover broken near school, open sewage gap",real
"Drainage not cleaned for months, mosquito breeding",real
DLF Promenade back drain overflowing after last night rain,real
"Colony drain blocked by tree roots, backing up in basement",real
"Sewage mixing with drinking water supply, urgent fix needed",real
"Frequent power outages in SDA, transformer humming loudly",real
Exposed live wires at chest height near market entrance,real
Daily 4-hour power cuts disrupting work-from-home,real
"Generator running 24/7 near residential building, noise + fumes",real
"Electricity bill tripled, meter not checked in 6 months",real
"Transformer tripped, Sector 6 without power 20+ hours",real
"Power fluctuation damaging electronics, 3 inverters blown",real
New connection pending 4 months despite payment,real
"Live wire hanging from pole after storm, sparking on tree",real
Market area power cuts exactly 6-10pm daily for 2 weeks,real
"Electric meter reading appears incorrect, abnormal bill",real
Substation issue causing repeated outages in south block,real
"Open electrical box near school gate, children at risk",real
"Cable fault since Tuesday, no restoration schedule given",real
Loud construction at night past 11 PM violating noise norms,real
Banquet hall DJ past midnight every weekend,real
"Generator noise from 3 hotels all night, residents sleepless",real
Loudspeaker from shop from 6am to 10pm daily,real
"Bar music till 3am in village, police complaint filed",real
"Road drilling at midnight for metro work, unbearable",real
Transformer humming very loud since new installation,real
Construction blasting noise near hospital zone,real
Market loudspeaker announcements disrupting nearby school,real
Mall loading dock night deliveries waking residents,real
Fallen tree blocking lane near Phase 1 metro after storm,real
Tree branch hanging dangerously over road near Club Road,real
"Trees need pruning, branches touching 11kV power lines",real
"Large dead tree leaning over residential building, urgent",real
"Tree roots breaking footpath, tripping hazard near market",real
Diseased tree spreading to others in Coronation Park,real
"Tree planted too close to compound wall, cracking it",real
Old peepal tree leaning at 45 degrees after rain,real
Tree roots blocking storm drain causing regular flooding,real
M-Block green belt trees need seasonal trimming,real
"Stray dog pack near Rajiv Chowk metro exit, biting incidents",real
"Broken playground equipment in Select City park, sharp edges",real
"Open manhole on Sector 3 road, no cover, no barrier at night",real
Footpath in village completely encroached by shops,real
"Stray cattle on Sector 2 road, traffic hazard at night",real
Illegal encroachment on public park behind metro,real
Abandoned vehicles in Sector 7 reducing road to one lane,real
"Public toilet non-functional for 2 months, open defecation",real
Community water cooler installed but never connected,real
Illegal construction blocking emergency access to society,real
Waterlogging on main road after blocked storm drain,real
"Open transformer pit near tourist area, safety emergency",real
Parking lot encroachment on public park land,real
Hospital gate always blocked by commercial vehicles,real
"ISBT approach road encroached by hawkers, 2 lanes blocked",real
